Model Name,Training Loss,Validation Loss,Actual Performance,Number of Epochs Trained,Learning Rate,Batch Size,Validation Split,Notes
CNNDAE_v2,-,-,11704,20,0.001,128,-,-
DSRCNN_v1,-,-,8963,20,0.003,128,-,-
DSRCNN_v2,~664,-,8787,20,0.001,128,0.1,-
DSRCNN_v3,661.3170,656.9139,8913.436615881015,20,0.001,128,0.1,"conv1 and conv2 have (5, 5) filter size, avg instead of add for merge layers"
DSRCNN_v4,~320,-,8781.791015804805,20,0.001,64,0.15,-
SRResNet_v1,-,-,13000,10,-,-,-,used mean_squared_error
SRResNet_v2,-,-,11906,40,-,-,-,used mean_squared_error
SRResNet_v3,-,-,15701,40,-,-,-,usedAdded bn2 and add2
TEST_v1,322.4937,329.0142,8915.793456903437,20,0.001,64,0.15,"Network used ESRCNN into DSRCNN"
TEST_v2,452.9600,345.1469,-,19,0.001,64,0.15,"Network used ESRCNN into DSRCNN, do not use"
ResNet_v1,606.1116,798.2675,-,20,0.001,64,0.15,-
ResNet_v2,477.2138,475.9525,-,20,0.003,64,0.15,-
